credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,years.with.cr.line
1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,28854,52.1,0,0,0,0,15.441364361396303
1,credit_card,0.1071,228.22,11.08214255,14.29,707,33623,76.7,0,0,0,0,7.5564681724846
1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,3511,25.6,1,0,0,0,12.895277207392198
1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,33667,73.2,1,0,0,0,7.392083047227926
1,credit_card,0.1426,102.92,11.29973224,14.97,667,4740,39.5,0,1,0,0,11.132101300479125
1,credit_card,0.0788,125.13,11.90496755,16.98,727,50807,51.0,0,0,0,0,16.75576089527721
1,debt_consolidation,0.1496,194.02,10.71441777,4.0,667,3839,76.8,0,0,1,1,8.70647958110883
1,all_other,0.1114,131.22,11.00209984,11.08,722,24220,68.6,0,0,0,1,14.00684462696783
1,home_improvement,0.1134,87.19,11.40756495,17.25,682,69909,51.1,1,0,0,0,10.921286789869953
1,debt_consolidation,0.1221,84.12,10.20359214,10.0,707,5630,23.0,1,0,0,0,7.474446726899384
1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,13846,71.0,2,0,1,0,18.379306412046546
1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,5122,18.2,2,1,0,0,11.767282683093772
1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6068,16.7,0,0,0,0,17.85067305407255
1,small_business,0.0714,92.82,11.51292546,6.5,747,3021,4.8,0,1,0,0,12.002737850787133
1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,6282,44.6,0,0,0,0,4.27093314989733
1,major_purchase,0.1103,327.53,10.73891524,13.04,702,5394,53.4,1,0,0,0,22.3407483449692
1,all_other,0.1317,77.69,10.52277288,2.26,672,2211,88.4,0,0,0,0,10.66655258863792
1,credit_card,0.0894,476.58,11.60823564,7.07,797,7586,52.7,1,0,0,0,17.826032396988364
1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,8311,59.8,0,0,0,0,7.5564681724846
1,major_purchase,0.1513,173.65,11.00209984,2.74,667,591,84.4,3,0,0,0,3.085443759069131
1,all_other,0.08,188.02,11.22524339,16.08,772,29797,23.2,1,0,0,0,13.385238420260094
